,primary_isbn10,title,author,publisher,weeks_on_list
0,1594634025,THE GIRL ON THE TRAIN,Paula Hawkins,Riverhead,102
1,1501173219,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,Scribner,81
2,525431888,FIFTY SHADES DARKER,E L James,Vintage,66
3,1466850604,THE NIGHTINGALE,Kristin Hannah,St. Martin's,63
4,1440697663,THE HELP,Kathryn Stockett,Penguin Group,58
5,1476738025,A MAN CALLED OVE,Fredrik Backman,Washington Square,56
6,144947425X,MILK AND HONEY,Rupi Kaur,Andrews McMeel,52
7,553897845,A GAME OF THRONES,George R R Martin,Bantam,51
8,425274861,BIG LITTLE LIES,Liane Moriarty,Berkley,38
9,425284697,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,35
10,1501132954,THE WOMAN IN CABIN 10,Ruth Ware,Scout,35
11,735224307,LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin Press,31
12,307272117,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,Knopf Doubleday Publishing,31
13,038549081X,THE HANDMAID'S TALE,Margaret Atwood,Houghton Mifflin Harcourt,27
14,1101967684,THE WHISTLER,John Grisham,Doubleday,25
15,1455520667,THE LONGEST RIDE,Nicholas Sparks,Grand Central,25
16,307887448,READY PLAYER ONE,Ernest Cline,Broadway,24
17,1524797154,CAMINO ISLAND,John Grisham,Doubleday,23
18,440335167,OUTLANDER,Diana Gabaldon,Dell,21
19,None,BARED TO YOU,Sylvia Day,Penguin Group,21
20,1449486797,THE SUN AND HER FLOWERS,Rupi Kaur,Andrews McMeel,20
21,385514239,ORIGIN,Dan Brown,Doubleday,20
22,1101883081,LILAC GIRLS,Martha Hall Kelly,Ballantine,20
23,1501120603,11/22/63,Stephen King,Scribner,19
24,345803574,FIFTY SHADES TRILOGY,E L James,Vintage,19
25,765388111,A DOG'S PURPOSE,W Bruce Cameron,Forge Books,18
26,None,THE MARRIAGE BARGAIN,Jennifer Probst,Entangled Publishing,17
27,125016561X,THE GREAT ALONE,Kristin Hannah,St. Martin's,16
