,isbn,title,original_title,authors,original_publication_year,average_rating
105,,Bossypants,Bossypants,Tina Fey,2011.0,3.94
120,,Lolita,Lolita,"Vladimir Nabokov, Craig Raine",1955.0,3.88
161,,The Stranger,L’Étranger,"Albert Camus, Matthew    Ward",1942.0,3.96
187,,"A Dance with Dragons (A Song of Ice and Fire, #5)",A Dance with Dragons,George R.R. Martin,2011.0,4.31
202,,"Beautiful Disaster (Beautiful, #1)",Beautiful Disaster,Jamie McGuire,2011.0,4.15
259,,How to Win Friends and Influence People,How to Win Friends and Influence People,Dale Carnegie,1936.0,4.13
323,,Fangirl,,Rainbow Rowell,2013.0,4.12
347,,We Were Liars,We Were Liars,E. Lockhart,2014.0,3.85
412,,The Three Musketeers,Les Trois Mousquetaires,Alexandre Dumas,1844.0,4.06
463,,Holy Bible: King James Version,,Anonymous,1611.0,4.43
565,,"After You (Me Before You, #2)",After You,Jojo Moyes,2015.0,3.7
643,,"Slammed (Slammed, #1)",Slammed,Colleen Hoover,2012.0,4.29
717,,The Sound and the Fury,The Sound and the Fury,William Faulkner,1929.0,3.86
741,,"Wool Omnibus (Silo, #1)",Wool Omnibus,Hugh Howey,2012.0,4.24
795,,"On Dublin Street (On Dublin Street, #1)",On Dublin Street,Samantha Young,2012.0,4.24
798,,Watchers,Watchers,Dean Koontz,1987.0,4.16
811,,"Fallen Too Far (Rosemary Beach, #1; Too Far, #1)","Fallen Too Far (Too Far, #1)",Abbi Glines,2012.0,4.21
826,,"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",To All the Boys I've Loved Before,Jenny Han,2014.0,4.11
833,,"Midnight Sun (Twilight, #1.5)",Midnight Sun (Partial Draft),Stephenie Meyer,2008.0,4.03
851,,When Breath Becomes Air,When Breath Becomes Air,"Paul Kalanithi, Abraham Verghese",2016.0,4.32
933,,Waiting for Godot,En attendant Godot,Samuel Beckett,1952.0,3.81
961,,"Point of Retreat (Slammed, #2)",Point of Retreat,Colleen Hoover,2012.0,4.3
994,,"The Unbecoming of Mara Dyer (Mara Dyer, #1)",The Unbecoming of Mara Dyer,Michelle Hodkin,2011.0,4.09
1061,,"The Heir (The Selection, #4)",The Heir,Kiera Cass,2015.0,3.85
1109,,"Maybe Someday (Maybe, #1)",Maybe Someday,Colleen Hoover,2014.0,4.33
1115,,"The Immortals of Meluha (Shiva Trilogy, #1)",The Immortals of Meluha,Amish Tripathi,2010.0,4.0
1129,,Ugly Love,Ugly Love,Colleen Hoover,2014.0,4.3
1138,,The Tommyknockers,The Tommyknockers,Stephen King,1987.0,3.48
1164,,"Wait for You (Wait for You, #1)",Wait for You,"J. Lynn, Jennifer L. Armentrout",2013.0,4.19
1171,,"The Opal Deception  (Artemis Fowl, #4)",The Opal Deception,Eoin Colfer,2005.0,4.04
1195,,"A Wind in the Door (A Wrinkle in Time Quintet, #2)",A Wind in the Door,Madeleine L'Engle,1973.0,4.07
1200,,"Dead Reckoning (Sookie Stackhouse, #11)",Dead Reckoning,Charlaine Harris,2011.0,3.77
1204,,Hard-Boiled Wonderland and the End of the World,世界の終りとハードボイルド・ワンダーランド [Sekai no owari to hādoboirudo wandārando],"Haruki Murakami, Alfred Birnbaum",1985.0,4.15
1218,,"The Coincidence of Callie & Kayden (The Coincidence, #1)",The Coincidence of Callie & Kayden,Jessica Sorensen,2012.0,4.21
1307,,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",A Court of Mist and Fury,Sarah J. Maas,2016.0,4.72
1365,,"The Infinite Sea (The 5th Wave, #2)",The Infinite Sea,Rick Yancey,2014.0,3.94
1371,,الفيل الأزرق,الفيل الأزرق,أحمد مراد,2012.0,3.8
1408,,The 3 Mistakes of My Life,The 3 Mistakes of My Life,Chetan Bhagat,2008.0,2.97
1469,,"This Man (This Man, #1)",This Man,Jodi Ellen Malpas,2012.0,4.13
1474,,الأسود يليق بك,الأسود يليق بك,"أحلام مستغانمي, Ahlam Mosteghanemi",2012.0,3.72
1511,,Twelve Years a Slave,Twelve Years a Slave,Solomon Northup,1853.0,4.15
1558,,"Rapture (Fallen, #4)",Rapture,Lauren Kate,2012.0,4.03
1567,,It Ends with Us,It Ends with Us,Colleen Hoover,2016.0,4.44
1627,,"Wool (Wool, #1)",Wool,Hugh Howey,2011.0,4.12
1646,,تراب الماس,تراب الماس,أحمد مراد,2010.0,4.09
1650,,"Ignite Me (Shatter Me, #3)","Ignite Me (Shatter Me, #3)",Tahereh Mafi,2014.0,4.44
1657,,"Tangled (Tangled, #1)",Tangled,Emma Chase,2013.0,4.12
1664,,"Warbreaker (Warbreaker, #1)",Warbreaker,Brandon Sanderson,2009.0,4.22
1672,,"Beneath This Man (This Man, #2)",Beneath This Man ,Jodi Ellen Malpas,2013.0,4.3
1698,,The Lake House,The Lake House,Kate Morton,2015.0,4.04
1701,,"Rule (Marked Men, #1)",Rule,"Jay Crownover, Charlotte Connan de vries",2012.0,4.16
1724,,Alice's Adventures in Wonderland,,"Lewis Carroll, John Tenniel",1865.0,3.99
1728,,Seveneves,Seveneves,Neal Stephenson,2015.0,3.98
1752,,"Reason to Breathe (Breathing, #1)",Reason to Breathe,Rebecca Donovan,2011.0,4.23
1772,,"Reckless (Thoughtless, #3)",Reckless,S.C. Stephens,2013.0,4.42
1786,,هيبتا,هيبتا,محمد صادق,2014.0,3.82
1836,,"Shift (Silo, #2)",Shift,Hugh Howey,2013.0,4.12
1866,,"The Hangman's Daughter (The Hangman's Daughter, #1)","Die Henkerstochter (Band 1 aus der Reihe ""Die Henkerstochter-Saga)","Oliver Pötzsch, Lee Chadeayne",2008.0,3.71
1904,,"Blood Song (Raven's Shadow, #1)",Blood Song,Anthony  Ryan,2011.0,4.47
1932,,أحببتك أكثر مما ينبغي,أحببتك أكثر مما ينبغى,أثير عبدالله النشمي,2010.0,3.67
1934,,Kindle Paperwhite User's Guide,kindle paperwhite user's guide 2nd edition,Amazon,2011.0,3.72
1946,,My Sister's Grave (Tracy Crosswhite #1),My Sister's Grave,Robert Dugoni,2014.0,4.0
